company_1,company_2,article_count
Ford Motor Company,HSBC,2
Deutsche Telekom,UBS,2
PepsiCo,Unilever,2
Carlyle Group,Credit Suisse,2
HSBC,Iridium Communications,2
Broadcom,Mobileye,2
IBM,Unisys,2
Citigroup,Microsoft,2
Kroger,Whole Foods Market,2
Nokia,UBS,2
Amazon,Caterpillar,2
AMD,Amazon,2
Boeing,Nike,2
Novartis,Orchard Therapeutics,2
Verizon Communications,Viacom,2
Amazon,Toyota,2
Gilead Sciences,Mylan,2
Google,Nokia,2
Google,Rentokil Initial,2
Hewlett Packard Enterprise,Pfizer,2
HSBC,Pfizer,2
Nissan,UBS,2
Alabama Power,Southern Company,2
AT&T,Vodafone,2
Magellan Midstream Partners,WPX Energy,2
Scotiabank,UBS,2
Goldman Sachs,Scotiabank,2
Goldman Sachs,Ryanair,2
BlackBerry,Microsoft,2
Air France-KLM,Boeing,2
IBM,Veeva Systems,2
Goldman Sachs,Siemens,2
Google,LifeLock,2
Broadridge Financial Solutions,Centene Corporation,2
Amgen,Novartis,2
Scotiabank,Toronto-Dominion Bank,2
Goldman Sachs,Kroger,2
Caterpillar,Nucor,2
Axalta Coating Systems,Liberty Global,2
Microsoft,SolarWinds,2
Comcast,Morgan Stanley,2
BP,Ryanair,2
British American Tobacco,Reynolds American,2
Delta Air Lines,Medtronic,2
Shell,YPF,2
Comcast,Verizon Communications,2
21st Century Fox,Comcast,2
Intel,Wells Fargo,2
Deutsche Bank,Park Hotels & Resorts,2
Caterpillar,Intel,2
Amazon,STMicroelectronics,2
Goldman Sachs,Intercontinental Exchange,2
First Financial Bank,MainSource Bank,2
Antero Resources,Range Resources,2
Shell,Tesla,2
British American Tobacco,Credit Suisse,2
Coinbase,Goldman Sachs,2
Baidu,Microsoft,2
GSK,Morgan Stanley,2
GSK,Goldman Sachs,2
Amgen,GSK,2
American Greetings,Deutsche Bank,2
NetApp,Nokia,2
Air Lease,Boeing,2
IAC,Vimeo,2
Amazon,Costco,2
FedEx,Walmart,2
Amazon,Baidu,2
Microsoft,Siemens,2
Dell Technologies,Microsoft,2
Adobe,Google,2
Express,Express Scripts,2
Amgen,Express,2
Royal Bank of Canada,Vodafone,2
Liberty Global,Royal Bank of Canada,2
ArcelorMittal,Vedanta Resources,2
Amazon,Mattel,2
Mastercard,Visa,2
Airbnb,Google,2
Credit Suisse,Kraft Heinz,2
Sears,Walmart,2
Ferrari,Morgan Stanley,2
Capital One,Wells Fargo,2
Intel,NXP Semiconductors,2
Qualcomm,Royal Bank of Canada,2
Broadcom,Royal Bank of Canada,2
Credit Suisse,Scotiabank,2
Hertz Car Sales,The Hertz Corporation,2
Monsanto,Unilever,2
IBM,Monsanto,2
Brookfield Business Partners,Unilever,2
General Motors,Intel,2
General Motors,Honda,2
General Mills,Goldman Sachs,2
BlackRock,Invesco,2
Amazon,Nokia,2
Microsoft,eBay,2
Amazon,UBS,2
HudBay Minerals,Tahoe Resources,2
Medtronic,Smith & Nephew,2
Cision,Credit Suisse,2
Broadridge Financial Solutions,Cision,2
Lehman Brothers,Unilever,2
Kraft Heinz,Morgan Stanley,2
Kraft Heinz,Lehman Brothers,2
DuPont,Unilever,2
DuPont,Morgan Stanley,2
DuPont,Lehman Brothers,2
DuPont,Kraft Heinz,2
Credit Suisse,Lehman Brothers,2
Nokia,Unilever,2
Nokia,Shell,2
Deutsche Telekom,Walmart,2
Bank of America,Boeing,2
Juniper Networks,Nokia,2
CureVac,SAP,2
Harley-Davidson,Tesla,2
Range Resources,Southwestern Energy,2
Antero Resources,Southwestern Energy,2
Intel,Siemens,2
Google,Siemens,2
FactSet,Microsoft,2
Sumitomo Mitsui Financial Group,Toyota,2
Nissan,Sumitomo Mitsui Financial Group,2
Honda,Sumitomo Mitsui Financial Group,2
Citigroup,MSCI,2
Ameriprise Financial,BGC Partners,2
Deutsche Bank,Smith & Nephew,2
Citigroup,Shell,2
GlobalFoundries,Qualcomm,2
American Airlines,General Electric,2
Comcast,Walmart,2
BlackBerry,General Motors,2
AerCap,GPA,2
Deutsche Telekom,Intel,2
Check Point,Google,2
Goldman Sachs,LPL Financial,2
Baidu,Credit Suisse,2
Microsoft,Nintendo,2
Comcast,Vodafone,2
Comcast,Royal Bank of Canada,2
FTI Consulting,Iovance Biotherapeutics,2
Kodak,PepsiCo,2
Goldman Sachs,U.S. Bancorp,2
AT&T,The Walt Disney Company,2
Kellogg’s,Kimberly-Clark,2
Deutsche Telekom,Orange,2
Deutsche Bank,Orange,2
Google,United Airlines,2
Hewlett Packard Enterprise,Microsoft,2
Nissan,Uber,2
Goldman Sachs,Nissan,2
Apollo Global Management,Royal Bank of Canada,2
Baker Hughes,ConocoPhillips,2
IAC,Match Group,2
AT&T,CME Group,2
AerCap,SLB,2
Amphenol,BGC Partners,2
