company_id,company,article_count
Q486269,Kodak,10
Q5287613,Docusign,10
Q105965677,MPLX,10
Q645525,SunPower,10
Q643626,Aptiv,10
Q7239519,Precision Castparts Corp.,10
Q713418,TSMC,10
Q5130656,Clear Channel Outdoor,10
Q2376711,Sysco,10
Q2659099,Noble Energy,10
Q1028449,Cameco,10
Q30325409,Janus Henderson,10
Q1508234,Safeway,10
Q903957,Icl Group Ltd,10
Q7954024,WOW!,10
Q757307,Atlassian,10
Q1328252,Eletrobras,10
Q706094,Stanley Black & Decker,10
Q4874958,Baytex Energy,10
Q3312613,Midas,10
Q1057464,Hilton Worldwide,10
Q5453752,First Republic Bank,10
Q855639,Dow Chemical Company,10
Q851361,Huntsman Corporation,10
Q19995004,WeWork,10
Q795454,Barnes & Noble,10
Q1751032,Plum Creek Timber,10
Q6690181,LoveSac,10
Q16250432,Fidelity Southern Corporation,10
Q1662481,IHS Inc.,10
Q5586622,Gorman-Rupp Company,10
Q5527100,Gates Corporation,10
Q7685824,Targa Resources,9
Q3157622,Jacobs Engineering Group,9
Q4809155,Associated Banc-Corp,9
Q905998,Sasol,9
Q106253502,TopBuild Corp.,9
Q739518,Aon plc,9
Q225440,Celestica,9
Q5206198,DST Systems,9
Q1066028,Charles Schwab Corporation,9
Q5612177,Grupo Aeroportuario del Pacífico,9
Q2916497,Perrigo Company Plc,9
Q30100944,Rightside Group,9
Q48872,Eaton Corporation,9
Q7455653,ServiceNow,9
Q1957521,Mitel,9
Q3297582,Massey Energy,9
Q17141393,SJW Group,9
Q815327,Belden,9
Q663452,TE Connectivity,9
Q1053560,CenterPoint Energy,9
Q5429751,FairPoint Communications,9
Q106253770,Lumentum Holdings,9
Q17183768,Hub Group,9
Q2066858,PerkinElmer,9
Q7171522,"Pet, Inc.",9
Q2013357,Occidental Petroleum,9
Q4744822,American Reprographics Company,9
Q2031726,Westpac,9
Q644289,Altice USA,9
Q2357515,Stryker Corporation,9
Q7501150,Shopify,9
Q173476,Cummins,9
Q7098552,Oppenheimer Holdings,9
Q16983837,Quaker Chemical Corporation,9
Q3540193,Wayfair,9
Q1703389,Jones Lang LaSalle,9
Q648533,Semiconductor Manufacturing International Corporation,9
Q806206,Bancolombia,9
Q7924358,Viasat,9
Q7389067,SCANA,9
Q7336661,Ritchie Bros. Auctioneers,9
Q6782872,Masco,9
Q7252517,Provident Bank of New Jersey,9
Q6724984,Macquarie Infrastructure Company,9
Q894558,Boston Beer Company,9
Q17182243,Oil States International,9
Q1915049,McCormick & Company,9
Q1431486,Orange,9
Q5046846,cars.com,9
Q533415,Best Buy,9
Q464092,American Electric Power,9
Q2909088,Boise Cascade,9
Q4905973,Big Lots,9
Q688687,Encana,9
Q3999691,Tronox,9
Q741707,Wabtec,9
Q7814310,Toll Brothers,9
Q2140077,Tribune Media,9
Q518016,Unisys,9
Q479167,Steelcase,9
Q4743120,American Axle,8
Q5380687,Entravision Communications,8
Q18169198,Qorvo,8
Q7449804,Sempra,8
Q502344,Lear Corporation,8
Q18148411,Esterline,8
Q5082076,Charles River Laboratories,8
Q1196745,Rambus,8
Q1206980,Devon Energy,8
Q7833641,TransUnion,8
Q4687934,AerCap,8
Q2140315,Textron,8
Q853958,NTT DoCoMo,8
Q5214701,Dana Corporation,8
Q17077936,Lyft,8
Q1122299,"Computer Task Group, Incorporated",8
Q5446791,Fidelity National Financial,8
Q7615829,Stewart Information Services Corporation,8
Q7880076,Ulta Beauty,8
Q319344,Abercrombie & Fitch,8
Q538203,Patterson Companies,8
Q21463167,HashiCorp,8
Q1220078,Diebold Nixdorf,8
Q7917863,Vectren,8
Q733482,GoPro,8
Q839466,Domino's Pizza,8
Q5842736,Corning Inc.,8
Q621610,Applied Materials,8
Q16974741,AMAG Pharmaceuticals,8
Q2303478,Synopsys,8
Q85769855,Invitation Homes,8
Q5045738,Carpenter Technology Corporation,8
Q813782,Bed Bath & Beyond Inc.,8
Q634815,Motorola Solutions Incorporated,8
Q104158381,Vistra,8
Q3019129,DavidsTea,8
Q28222763,VIAVI Solutions,8
Q7417809,Sangamo Therapeutics,8
Q1066858,Tiffany & Co.,8
Q5059102,Centene Corporation,8
Q1975799,Penske Automotive Group,8
Q1885099,Time Warner Cable,8
Q127074,Albemarle Corporation,8
Q2904022,Bio-Rad Laboratories,8
Q297879,ASML,8
Q7571413,Southwestern Energy,8
Q20502124,Alon Blue Square Israel Ltd,8
Q5272601,Dick's Sporting Goods,8
Q19605389,Kenon Holdings Ltd,8
Q22674043,Compass Diversified,8
Q661845,STMicroelectronics,8
Q1424293,Itaú Unibanco,8
Q1524197,Gildan Activewear,8
Q5517210,GAIN Capital,8
Q60767471,Norwegian Cruise Line Holdings Ltd.,7
Q4738904,"AmTrust Financial Services, Inc.",7
Q291508,AES Corporation,7
Q30273389,Aptar,7
Q998470,RELX,7
Q427881,Royal Caribbean Group,7
Q85769888,Iovance Biotherapeutics,7
Q1715931,Tech Data,7
Q138548226,Figma Inc,7
Q5170128,Core-Mark,7
Q25796,AGL Resources,7
Q742196,Darden Restaurants,7
Q5009947,CDI Corporation,7
Q7169774,Perry Ellis International,7
Q970695,Northern Trust,7
Q11306218,Service Corporation International,7
Q203552,Zimmer Biomet Holdings,7
Q899395,Braskem,7
Q4914632,BioMarin Pharmaceutical,7
Q7512923,Signet Jewelers Limited,7
Q686785,Transocean,7
Q5926631,HubSpot,7
Q864407,The Home Depot,7
Q644167,PLDT,7
Q16956136,Cato Corporation,7
Q552363,Starwood,7
Q16932392,Roper Technologies,7
Q7002174,Neurocrine Biosciences,7
Q582418,ITT Corporation,7
Q29469208,Simpson Manufacturing Company,7
Q994153,Brunswick Corporation,7
Q7164054,Pennsylvania Real Estate Investment Trust,7
Q1400073,Federal Signal Corporation,7
Q7128508,Palo Alto Networks,7
Q16836218,AXIS Capital,7
Q905086,Henry Schein,7
Q7205253,Plug Power,7
Q1318848,Intuit,7
Q1371852,MBIA,7
Q60764327,Walker & Dunlop,7
Q3277465,Sirius XM,7
Q14647,Sun Microsystems,7
Q1425063,Hyatt Hotels Corporation,7
Q6805492,Media General,7
Q16996714,"Amneal Pharmaceuticals, Inc.",7
Q7241774,Prestige Brands,7
Q5592433,GrafTech,7
Q7573905,Spartan Motors,7
Q5575439,Shanda,7
Q173941,Electronic Arts,7
Q5453243,First Majestic Silver,7
Q161086,JetBlue Airways,7
Q6783802,Masonite International,7
Q6015591,Incyte,7
Q5494350,Fred's,7
Q851641,Equinix,7
Q1230295,Genesee & Wyoming,7
Q4037686,Dunkin' Brands,7
Q6159625,Jarden,7
Q461210,Rockwell Collins,7
Q910368,Clorox,7
Q4914611,BioCryst Pharmaceuticals,7
Q324616,Ingram Micro,7
Q20486917,Welltower,7
Q4727688,Alkermes,7
Q470317,Ametek,7
Q1915579,Mechel,7
Q48976818,NeoGenomics,7
Q5985017,Icahn Enterprises,7
Q4743275,American Campus Communities,7
Q5468821,Forest City Realty Trust,7
Q111384730,Stem Inc.,7
Q1200840,"Energizer Holdings, Inc.",7
Q609466,Colgate-Palmolive,7
Q3550736,USG Corporation,7
Q6415714,Kirkland's,7
Q38676,Agnico Eagle Mines,6
Q917131,Regions Financial Corporation,6
Q154387,Iridium Communications,6
Q1515039,WME Group,6
Q1122329,Computer Sciences Corporation,6
Q684825,ALCON MANAGEMENT SA,6
Q5547666,Georgia Power,6
Q1624295,Knoll,6
Q3331496,Myriad Genetics,6
Q2985356,NDTV,6
Q8027166,WEC Energy Group,6
Q826526,Loews Corporation,6
Q16834334,CVR Partners,6
Q50039478,Caris Life Sciences (United States),6
Q5206207,Designer Brands,6
Q5272335,dice.com,6
Q18156798,Astra,6
Q16829606,Cimarex Energy,6
Q21198484,Alamo Group,6
Q296782,Arm Holdings,6
Q3648676,"Ceva, Inc.",6
Q5476713,21st Century Fox,6
Q1353939,Etsy,6
Q5611081,Group 1 Automotive,6
Q15109925,Tractor Supply Company,6
Q3272257,M&T Bank,6
Q20711490,LKQ Corporation,6
Q2299611,Yelp,6
Q3459777,Semtech Corporation,6
Q6955139,NRG Energy,6
Q7505672,Shutterfly,6
Q822614,Alaska Airlines,6
Q4667884,AbioMed,6
Q21021003,Xenia Hotels and Resorts,6
Q63335,Foot Locker,6
Q1128160,Constellation Brands,6
Q7969661,Warnaco Group,6
Q1075788,Choice Hotels,6
Q6715200,MDU Resources,6
Q5461913,Florists' Transworld Delivery,6
Q17512182,Brixmor Property Group,6
Q5426765,FNB Corporation,6
Q19604459,Murphy USA,6
Q13636126,Hilton Grand Vacations,6
Q4983090,Buckeye Partners,6
Q7605667,Steel Dynamics,6
Q65066950,CNX Resources,6
Q196259,NetEase,6
Q6675775,LoopNet,6
Q1134069,Otis Worldwide Corporation,6
Q7161915,Pembina Pipeline,6
Q22025568,Stone Energy Corporation,6
Q27963938,Long Blockchain Corp.,6
Q806689,Bank of Ireland,6
Q3388421,Pilgrim's Corp,6
Q1416215,GoDaddy,6
Q7005093,NewAlliance Bank,6
Q21639712,Sibanye-Stillwater,6
Q7257522,Huntington Ingalls Industries,6
Q7833612,TransDigm Group Inc.,6
Q113503453,Summit Therapeutics,6
Q967265,Kohl's,6
Q4835545,BGC Partners,6
Q1138888,First Solar,6
Q979690,Netgear,6
Q1781428,L3 Technologies,6
Q1962059,Nabors Industries,6
Q18619982,Century Aluminum,6
Q787044,Autoliv,6
Q846743,Orbotech,6
Q3305660,Tailored Brands,6
Q7695260,Tejon Ranch,6
Q7120959,PTC Therapeutics,6
Q727883,NetApp,6
Q4803735,Asbury Automotive Group,6
Q1411295,Fidelity National Information Services,6
Q1199757,Dish,6
Q600624,CA Technologies,6
Q5416929,Evercore Partners,6
Q17142127,Pernix Therapeutics Holdings,6
Q2825507,AECOM,6
Q6044894,InterDigital,6
Q502132,Leidos,6
Q1549511,Ormat Technologies,6
Q6410043,Kimco Realty,6
Q1509038,Tenneco,6
Q2622493,Rentokil Initial,6
Q25104482,Banco Latinoamericano de Comercio Exterior,6
Q47080830,QEP Resources,6
Q7276640,RGC Resources,6
Q7516369,SSR Mining,6
Q26913624,Blue Apron,6
Q825943,BorgWarner,6
Q96371983,Amplify Energy,6
Q176587,Check Point,6
Q18636524,Caesars Entertainment,6
Q17074260,Patriot National Bancorp,6
Q48977470,EPR Properties,6
Q7669886,TD Ameritrade,6
Q6544620,LifeLock,6
Q1347782,Marvell Technology,6
Q7261135,"Pure Storage, Inc.",6
Q7881772,Columbia Bank,6
Q6772994,Marriott Vacations Worldwide Corporation,6
Q10876705,ZTO Express,6
Q55622230,MarketAxess,6
Q10856243,Newegg,6
Q12521253,The Howard Hughes Corporation,6
Q4976010,Brown & Brown,6
Q5388314,Erie Insurance Group,6
Q3344199,Eversource Energy,6
Q1591889,Walgreens,6
Q5426537,FLIR Systems,6
Q1232862,Eldorado Gold,6
Q4974387,Brookdale Senior Living,6
Q4033665,Alaska Air Group,5
Q24204582,OnDeck Capital,5
Q8071921,Zillow,5
Q17141146,CareCloud,5
Q54953653,B&G Foods,5
Q7129613,Pan American Silver,5
Q135281,Alexander & Baldwin,5
Q77581453,ViewRay,5
Q127040202,Tempus AI,5
Q5019738,Calgon Carbon,5
Q16531742,Valvoline,5
Q764321,Obsidian Energy,5
Q2466838,SMART Technologies,5
Q39055285,Talos Energy,5
Q2744099,Vertex Pharmaceuticals,5
Q1140680,Flex Ltd.,5
Q20714323,DoorDash,5
Q4376955,Sabre Corporation,5
Q24896598,Gulf Island Fabrication,5
Q95205133,Hertz Global Holdings,5
Q4745263,American Tower Corporation,5
Q771865,Spectrum Brands,5
Q1922290,Mesa Air Group,5
Q7086908,Olin Corporation,5
Q55614037,Hudson Pacific Properties,5
Q667865,Johnson Controls plc,5
Q5452733,First Citizens BancShares,5
Q1945295,Monster Beverage,5
Q7935247,Virtus Investment Partners,5
Q731912,Carrier Corporation,5
Q5370909,Vertiv,5
Q16988355,Cloud Peak Energy,5
Q16982478,NCI Building Systems,5
Q180922,CAE Inc.,5
Q6795931,Maximus Inc.,5
Q6315968,Just Energy,5
Q29921278,Nio Inc.,5
Q540891,Nielsen Company,5
Q2722179,Advantest,5
Q7538146,Skyworks Solutions,5
Q6060808,Investment Technology Group,5
Q7569806,Southern Copper Corporation,5
Q16980871,Kadant,5
Q105375474,Sphere 3D,5
Q5158765,Concord,5
Q55639320,Bird,5
Q1061903,Live Nation Entertainment,5
Q18674747,Booking Holdings,5
Q7995089,White Mountains Insurance Group,5
Q747207,Lattice Semiconductor Corporation,5
