company,company_id,exchange,ticker,industry,company_url
,Q1053787,Nasdaq,CETV,mass media,http://www.wikidata.org/entity/Q1053787
,Q7793308,New York Stock Exchange,TPGI,real estate investment trust,http://www.wikidata.org/entity/Q7793308
,Q7875835,New York Stock Exchange,U,aviation,http://www.wikidata.org/entity/Q7875835
,Q7882701,New York Stock Exchange,LSI,real estate investment trust,http://www.wikidata.org/entity/Q7882701
,Q7713699,Nasdaq,ANDE,conglomerate,http://www.wikidata.org/entity/Q7713699
,Q7842860,New York Stock Exchange,TRN,conglomerate,http://www.wikidata.org/entity/Q7842860
,Q7809768,Nasdaq,TTNP,pharmaceutical industry,http://www.wikidata.org/entity/Q7809768
,Q7838954,Nasdaq,TRVN,pharmaceutical industry,http://www.wikidata.org/entity/Q7838954
,Q7847126,Nasdaq,,pharmaceutical industry,http://www.wikidata.org/entity/Q7847126
,Q7809764,Nasdaq,TITN,agricultural technology,http://www.wikidata.org/entity/Q7809764
,Q7856971,New York Stock Exchange,TPC,construction,http://www.wikidata.org/entity/Q7856971
,Q5277215,Nasdaq,DCOM,financial sector,http://www.wikidata.org/entity/Q5277215
,Q1023876,Nasdaq,CME,finance,http://www.wikidata.org/entity/Q1023876
,Q1055390,Nasdaq,CERN,health care,http://www.wikidata.org/entity/Q1055390
,Q1347782,Nasdaq,MRVL,semiconductor industry,http://www.wikidata.org/entity/Q1347782
,Q1049080,New York Stock Exchange,JNPR,technology,http://www.wikidata.org/entity/Q1049080
,Q7756963,Nasdaq,VRTS,financial services,http://www.wikidata.org/entity/Q7756963
,Q7756963,New York Stock Exchange,,financial services,http://www.wikidata.org/entity/Q7756963
,Q7881772,Nasdaq,UMPQ,financial services,http://www.wikidata.org/entity/Q7881772
,Q7887485,New York Stock Exchange,BSIG,financial services,http://www.wikidata.org/entity/Q7887485
,Q1322011,New York Stock Exchange,WAT,manufacturing of scientific and technical instrumentation,http://www.wikidata.org/entity/Q1322011
,Q1384784,New York Stock Exchange,EXPR,fashion retail industry,http://www.wikidata.org/entity/Q1384784
,Q1472539,New York Stock Exchange,MAN,staffing industry,http://www.wikidata.org/entity/Q1472539
,Q5574638,New York Stock Exchange,OLO,Internet,http://www.wikidata.org/entity/Q5574638
,Q5552410,Nasdaq,GERN,biotechnology,http://www.wikidata.org/entity/Q5552410
,Q5570954,Nasdaq,GBIM,biotechnology,http://www.wikidata.org/entity/Q5570954
,Q5842736,New York Stock Exchange,GLW,biotechnology,http://www.wikidata.org/entity/Q5842736
,Q13683,New York Stock Exchange,NYX,stock exchange,http://www.wikidata.org/entity/Q13683
,Q124795355,New York Stock Exchange,SOLV,health care,http://www.wikidata.org/entity/Q124795355
,Q1001788,New York Stock Exchange,BVN,mining,http://www.wikidata.org/entity/Q1001788
,Q1028449,New York Stock Exchange,CCJ,mining,http://www.wikidata.org/entity/Q1028449
,Q942471,New York Stock Exchange,TRV,insurance,http://www.wikidata.org/entity/Q942471
,Q1089060,New York Stock Exchange,CB,insurance,http://www.wikidata.org/entity/Q1089060
,Q14647,Nasdaq,,computing,http://www.wikidata.org/entity/Q14647
,Q7808537,Nasdaq,TNTR,recording medium,http://www.wikidata.org/entity/Q7808537
,Q7833612,New York Stock Exchange,TDG,industrial manufacturing,http://www.wikidata.org/entity/Q7833612
,Q1364494,New York Stock Exchange,MHS,pharmacy benefits manager,http://www.wikidata.org/entity/Q1364494
,Q1435628,New York Stock Exchange,FMX,brewing industry,http://www.wikidata.org/entity/Q1435628
,Q1509038,New York Stock Exchange,TEN,automotive part,http://www.wikidata.org/entity/Q1509038
,Q1390577,New York Stock Exchange,TWTR,Internet industry,http://www.wikidata.org/entity/Q1390577
,Q1471346,New York Stock Exchange,WHR,home appliance industry,http://www.wikidata.org/entity/Q1471346
,Q1092571,Nasdaq,CTAS,tertiary sector of the economy,http://www.wikidata.org/entity/Q1092571
,Q7711620,Nasdaq,NCTY,video game industry,http://www.wikidata.org/entity/Q7711620
,Q7856379,Nasdaq,HEAR,video game industry,http://www.wikidata.org/entity/Q7856379
,Q7835892,Nasdaq,TA,truck stop,http://www.wikidata.org/entity/Q7835892
,Q7884645,New York Stock Exchange,UNF,industrial laundry,http://www.wikidata.org/entity/Q7884645
,Q126325758,Nasdaq,XOS,automotive industry,http://www.wikidata.org/entity/Q126325758
,Q9584,New York Stock Exchange,HMC,automotive industry,http://www.wikidata.org/entity/Q9584
,Q1045842,Nasdaq,CAKE,gastronomy,http://www.wikidata.org/entity/Q1045842
,Q7711656,Nasdaq,TST,publishing,http://www.wikidata.org/entity/Q7711656
,Q7851506,New York Stock Exchange,,computer security,http://www.wikidata.org/entity/Q7851506
,Q6036711,Nasdaq,INOV,technology,http://www.wikidata.org/entity/Q6036711
,Q131308915,New York Stock Exchange,ALTM,chemical industry,http://www.wikidata.org/entity/Q131308915
