company,company_id,ticker,industry,company_url
CCU,Q2990393,ccu,brewing industry,http://www.wikidata.org/entity/Q2990393
CDI Corporation,Q5009947,CDI,,http://www.wikidata.org/entity/Q5009947
CF Industries,Q905806,CF,chemical industry,http://www.wikidata.org/entity/Q905806
CHC Helicopter,Q2071877,HELI,transport,http://www.wikidata.org/entity/Q2071877
CI&T,Q5119048,CINT,,http://www.wikidata.org/entity/Q5119048
CIT Group,Q1023765,,financial services,http://www.wikidata.org/entity/Q1023765
CLECO,Q5012733,CNL,electric power industry,http://www.wikidata.org/entity/Q5012733
CMC Electronics Inc.,Q5012867,,,http://www.wikidata.org/entity/Q5012867
CMS Energy,Q5013012,CMS,,http://www.wikidata.org/entity/Q5013012
CNA Financial,Q5013072,CNA,insurance,http://www.wikidata.org/entity/Q5013072
CNH Industrial,Q15238661,CNHI,automotive industry,http://www.wikidata.org/entity/Q15238661
CNOOC Limited,Q795221,CEO,,http://www.wikidata.org/entity/Q795221
CPFL Energia,Q1121216,CPL,,http://www.wikidata.org/entity/Q1121216
CRH,Q1053299,CRH,building material,http://www.wikidata.org/entity/Q1053299
CSS Industries,Q5014304,CSS,,http://www.wikidata.org/entity/Q5014304
CST Brands,Q16959310,CST,convenience store,http://www.wikidata.org/entity/Q16959310
CSX Corporation,Q1024454,CSX,rail transport,http://www.wikidata.org/entity/Q1024454
CVR Partners,Q16834334,,,http://www.wikidata.org/entity/Q16834334
Cabot Corporation,Q750124,CBT,,http://www.wikidata.org/entity/Q750124
Cactus Inc.,Q111384774,WHD,,http://www.wikidata.org/entity/Q111384774
Cadence Bancorporation,Q114820617,CADE,,http://www.wikidata.org/entity/Q114820617
Cadence Bank,Q4854138,CADE,financial services,http://www.wikidata.org/entity/Q4854138
Caleres,Q4112833,CAL,retail,http://www.wikidata.org/entity/Q4112833
Calgon Carbon,Q5019738,CCC,,http://www.wikidata.org/entity/Q5019738
Caliber System,Q7339697,CBB,trucking industry,http://www.wikidata.org/entity/Q7339697
California Resources,Q47394052,CRC,petroleum industry,http://www.wikidata.org/entity/Q47394052
California Resources Corporation,Q60742531,CRC,petroleum industry,http://www.wikidata.org/entity/Q60742531
California Water Service Group,Q104845916,CWT,water supply,http://www.wikidata.org/entity/Q104845916
Calix,Q5021439,CALX,telecommunications,http://www.wikidata.org/entity/Q5021439
Callaway Golf Company,Q1027181,MODG,,http://www.wikidata.org/entity/Q1027181
Cambrex Corporation,Q5025239,,pharmaceutical industry,http://www.wikidata.org/entity/Q5025239
Camden Property Trust,Q5025803,CPT,real estate investment trust,http://www.wikidata.org/entity/Q5025803
Cameco,Q1028449,CCJ,mining,http://www.wikidata.org/entity/Q1028449
Cameron International,Q2934771,CAM,,http://www.wikidata.org/entity/Q2934771
Campbell's,Q1030544,CPB,food industry,http://www.wikidata.org/entity/Q1030544
Camping World,Q5028383,CWH,retail,http://www.wikidata.org/entity/Q5028383
Can Fite Biopharma,Q96482303,CANF,biopharmaceutical,http://www.wikidata.org/entity/Q96482303
Canadian National Railway,Q624798,CNI,rail freight transport,http://www.wikidata.org/entity/Q624798
Canadian Natural Resources,Q1032229,CNQ,,http://www.wikidata.org/entity/Q1032229
Canadian Oil Sands Limited,Q1032244,SU,,http://www.wikidata.org/entity/Q1032244
Canadian Pacific Kansas City,Q117706368,CP,logistics,http://www.wikidata.org/entity/Q117706368
CapitalSource,Q5035425,,bank,http://www.wikidata.org/entity/Q5035425
CareFusion,Q5038833,,health technology,http://www.wikidata.org/entity/Q5038833
