company,company_id,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date
Banco de Chile,Q2882085,New York Stock Exchange,BCH,financial services,,,http://www.wikidata.org/entity/Q2882085,2100000000.0,2010-01-01 00:00:00+00:00
Red Hat,Q485593,New York Stock Exchange,RHT,software industry,,,http://www.wikidata.org/entity/Q485593,2052230000.0,2016-01-01 00:00:00+00:00
ATI Technologies,Q213849,Nasdaq,ATYT,semiconductor industry,,,http://www.wikidata.org/entity/Q213849,1996700000.0,2004-01-01 00:00:00+00:00
Oshkosh Corporation,Q1969091,New York Stock Exchange,OSK,automotive industry,,,http://www.wikidata.org/entity/Q1969091,1850000000.0,2018-01-01 00:00:00+00:00
Quiksilver,Q1329463,New York Stock Exchange,ZQK,textile industry,,,http://www.wikidata.org/entity/Q1329463,1810000000.0,2013-01-01 00:00:00+00:00
Autodesk,Q628051,Nasdaq,ADSK,software development,,,http://www.wikidata.org/entity/Q628051,1710000000.0,2010-01-01 00:00:00+00:00
Sabre Corporation,Q4376955,New York Stock Exchange,TSG,,,,http://www.wikidata.org/entity/Q4376955,1688880000.0,2021-12-31 00:00:00+00:00
Sabre Corporation,Q4376955,Nasdaq,SABR,,,,http://www.wikidata.org/entity/Q4376955,1688880000.0,2021-12-31 00:00:00+00:00
Torm PLC,Q694872,Nasdaq,TRMD,shipping line,,,http://www.wikidata.org/entity/Q694872,1559000000.0,2024-01-01 00:00:00+00:00
BEA Systems,Q787324,Nasdaq,BEAS,software development,,,http://www.wikidata.org/entity/Q787324,1535000000.0,2008-01-01 00:00:00+00:00
Bausch & Lomb,Q811857,New York Stock Exchange,BLCO,pharmaceutical industry,,,http://www.wikidata.org/entity/Q811857,1510000000.0,2007-01-01 00:00:00+00:00
Polycom,Q963809,Nasdaq,PLCM,telepresence,,,http://www.wikidata.org/entity/Q963809,1500000000.0,2011-01-01 00:00:00+00:00
Cameco,Q1028449,New York Stock Exchange,CCJ,mining,,,http://www.wikidata.org/entity/Q1028449,1475000000.0,2021-01-01 00:00:00+00:00
Fox Factory,Q282997,Nasdaq,FOXF,automotive industry,,,http://www.wikidata.org/entity/Q282997,1464178000.0,2023-01-01 00:00:00+00:00
Verisign,Q734338,Nasdaq,VRSN,Internet,,,http://www.wikidata.org/entity/Q734338,1424900000.0,2022-01-01 00:00:00+00:00
Jacobs Engineering Group,Q3157622,New York Stock Exchange,J,engineering,,,http://www.wikidata.org/entity/Q3157622,1370000000.0,2018-01-01 00:00:00+00:00
Orbital Sciences Corporation,Q1030096,New York Stock Exchange,ORB,aerospace industry,,,http://www.wikidata.org/entity/Q1030096,1370000000.0,2013-01-01 00:00:00+00:00
Brady Corporation,Q897097,New York Stock Exchange,BRC,industrial manufacturing,,,http://www.wikidata.org/entity/Q897097,1340000000.0,2023-10-31 00:00:00+00:00
Trimble,Q2297063,Nasdaq,TRMB,,,,http://www.wikidata.org/entity/Q2297063,1300000000.0,2008-01-01 00:00:00+00:00
Tupperware,Q1129117,New York Stock Exchange,TUP,direct selling,,,http://www.wikidata.org/entity/Q1129117,1300000000.0,2022-01-01 00:00:00+00:00
Mindray,Q15138136,New York Stock Exchange,MR,,,,http://www.wikidata.org/entity/Q15138136,1300000000.0,2014-01-01 00:00:00+00:00
