company_id,company,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date,primary_ticker
Q1531473,Plantronics,New York Stock Exchange,,electronics,,,http://www.wikidata.org/entity/Q1531473,,,
Q1532489,Pall Corporation,New York Stock Exchange,,biotechnology,,,http://www.wikidata.org/entity/Q1532489,,,
Q153417,Kroger,New York Stock Exchange,KR,retail,,,http://www.wikidata.org/entity/Q153417,148258000000.0,2022-01-01 00:00:00+00:00,KR
Q1534597,Gold Fields,New York Stock Exchange,GFI,gold mining,,,http://www.wikidata.org/entity/Q1534597,,,GFI
Q1536176,Smurfit Westrock,New York Stock Exchange,SW,product packaging industry,,,http://www.wikidata.org/entity/Q1536176,,,SW
Q1536457,Republic Airways Holdings,Nasdaq,RJET,transport,,,http://www.wikidata.org/entity/Q1536457,,,RJET
Q1538507,Jack in the Box,Nasdaq,JACK,restaurant,,,http://www.wikidata.org/entity/Q1538507,,,JACK
Q1538585,Kelly Services,Nasdaq,KELYA,employment services industry,,,http://www.wikidata.org/entity/Q1538585,,,KELYA
Q1538731,Oi,New York Stock Exchange,,telecommunications,,,http://www.wikidata.org/entity/Q1538731,,,
Q1539185,The Timberland Company,New York Stock Exchange,,fashion,,,http://www.wikidata.org/entity/Q1539185,,,
Q15401349,Zendesk,New York Stock Exchange,zen,software industry,,,http://www.wikidata.org/entity/Q15401349,,,zen
Q154037,TotalEnergies,New York Stock Exchange,TOT,petroleum industry,122700000000.0,2025-12-31 00:00:00+00:00,http://www.wikidata.org/entity/Q154037,201196000000.0,2025-01-01 00:00:00+00:00,TOT
Q1541470,GPA,New York Stock Exchange,CBD,retail,,,http://www.wikidata.org/entity/Q1541470,,,CBD
Q1542175,Mitsubishi UFJ Financial Group,New York Stock Exchange,MTU,financial services,,,http://www.wikidata.org/entity/Q1542175,,,MTU
Q154387,Iridium Communications,Nasdaq,IRDM,telecommunications,,,http://www.wikidata.org/entity/Q154387,,,IRDM
Q1543874,The Hertz Corporation,Nasdaq,HTZ,tourism industry,,,http://www.wikidata.org/entity/Q1543874,,,HTZ
Q1544312,Telecom Argentina,New York Stock Exchange,TEO,telecommunications,,,http://www.wikidata.org/entity/Q1544312,,,TEO
Q1544413,National Instruments,Nasdaq,NATI,information technology,,,http://www.wikidata.org/entity/Q1544413,,,NATI
Q1545076,Microchip Technology,Nasdaq,MCHP,electronics,,,http://www.wikidata.org/entity/Q1545076,5440000000.0,2021-01-01 00:00:00+00:00,MCHP
Q1545542,OM Group,New York Stock Exchange,OMG,chemical industry,,,http://www.wikidata.org/entity/Q1545542,,,OMG
Q1546793,S&P 100,Nasdaq; New York Stock Exchange,OEX,,,,http://www.wikidata.org/entity/Q1546793,,,OEX
Q1548363,Magic Software Enterprises Ltd.,Nasdaq,MGIC,software industry,2835615000.0,2022-11-15 00:00:00+00:00,http://www.wikidata.org/entity/Q1548363,,,MGIC
Q154950,Shell,New York Stock Exchange,RDS.B,petroleum industry,,,http://www.wikidata.org/entity/Q154950,316620000000.0,2023-01-01 00:00:00+00:00,RDS.B
